age,annual_income,existing_loans,loan_amount,debt_to_income,late_payments_last_year,credit_history_years,employment_years,creditworthy
59,64346.35,1,10867.09,0.1689,2,23,1,0
49,41079.0,0,6813.97,0.0,0,15,26,1
35,46807.5,3,17240.36,1.105,1,8,31,0
63,29569.89,0,500.0,0.0,1,6,9,0
28,25829.66,0,992.2,0.0,1,10,16,0
41,20343.89,1,13580.06,0.6675,0,8,32,1
59,31722.55,1,15659.53,0.4936,2,16,5,0
39,68288.43,0,12045.45,0.0,0,29,17,1
43,21709.09,1,2364.51,0.1089,0,8,8,0
31,40446.96,0,8456.87,0.0,0,2,7,1
31,25602.82,1,18129.67,0.7081,0,21,24,0
44,35985.39,2,19654.25,1.0923,2,7,30,0
56,47545.41,0,14870.22,0.0,2,18,3,0
60,34498.26,1,24254.67,0.703,1,19,19,0
44,61344.97,4,18179.18,1.1854,1,15,27,0
23,68009.67,0,9020.35,0.0,0,6,0,1
42,11263.56,1,12755.98,1.1324,2,27,22,0
22,34755.12,1,3777.07,0.1087,1,6,12,0
44,45887.13,0,14134.89,0.0,1,19,15,1
64,61891.76,1,23896.8,0.3861,2,24,25,0
50,38186.34,4,20482.32,2.1455,1,12,30,0
58,44700.97,1,26216.07,0.5865,0,2,0,0
22,27648.84,1,12576.92,0.4549,3,11,16,0
41,22008.06,1,25768.8,1.1708,0,23,15,0
53,66680.77,1,13453.57,0.2018,1,7,9,0
32,17638.95,1,26772.68,1.5177,1,12,30,0
42,79929.29,3,14825.15,0.5564,1,19,9,1
64,55877.27,1,20657.85,0.3697,0,15,33,1
45,55199.6,1,26800.9,0.4855,0,6,5,1
47,53632.03,2,13452.58,0.5017,1,3,27,0
62,41209.71,0,16747.11,0.0,0,28,27,1
48,50881.27,1,25310.91,0.4974,1,11,12,0
36,42166.55,1,13935.97,0.3305,1,16,11,1
35,53296.1,0,4432.86,0.0,0,0,1,0
64,44494.7,3,32144.06,2.1672,1,29,7,0
23,30744.78,2,11241.88,0.7313,0,16,8,0
57,31941.41,2,16270.05,1.0187,0,1,7,0
27,30235.91,0,24248.05,0.0,1,5,2,0
41,59563.51,1,10132.05,0.1701,1,11,8,0
29,35738.3,1,6937.06,0.1941,0,25,12,1
59,16318.45,2,17029.9,2.0871,1,10,8,0
38,50952.58,0,655.39,0.0,1,20,30,1
24,67717.76,0,12696.75,0.0,1,10,24,1
45,56596.25,2,16960.31,0.5993,1,17,7,0
34,35950.15,1,12840.38,0.3572,0,7,30,1
29,21197.82,2,2652.39,0.2502,0,24,30,1
46,42985.98,1,27753.42,0.6456,0,6,16,0
22,42611.64,0,15828.31,0.0,0,27,18,1
40,30462.01,0,26449.22,0.0,1,13,2,0
48,53265.56,0,12919.71,0.0,2,15,29,1
27,72699.4,1,7959.9,0.1095,0,11,9,1
64,48334.24,1,17153.45,0.3549,1,8,28,0
28,47407.14,0,13273.7,0.0,1,19,17,1
55,30941.58,2,5577.91,0.3605,0,28,11,1
34,65961.22,2,26758.27,0.8113,1,22,22,0
37,43872.84,1,10021.84,0.2284,2,20,10,0
56,36315.55,0,500.0,0.0,0,15,8,1
60,45955.33,1,25625.33,0.5576,1,20,23,0
24,52079.42,2,10965.62,0.4211,0,18,24,1
22,47088.23,1,10137.41,0.2153,1,15,24,1
26,63092.3,3,876.9,0.0417,0,8,8,1
62,50759.57,3,28927.53,1.7096,0,12,11,0
24,40740.87,0,4684.16,0.0,1,25,10,1
49,51017.88,0,15467.6,0.0,1,4,27,1
38,52494.56,0,22300.96,0.0,2,21,7,0
46,25554.36,2,18373.74,1.438,0,18,9,0
64,62241.3,0,14522.77,0.0,0,9,24,1
54,40486.44,1,1386.67,0.0342,1,6,8,0
30,40870.15,2,8522.2,0.417,0,8,7,0
56,56270.64,0,16502.4,0.0,1,24,2,1
34,56207.48,0,8702.61,0.0,0,13,17,1
51,34487.52,3,16626.88,1.4463,0,14,34,0
35,57043.52,1,20453.95,0.3586,1,12,16,1
28,36593.28,1,22700.02,0.6203,0,9,27,0
34,72293.6,0,5190.57,0.0,0,13,14,1
43,32577.09,1,32573.17,0.9998,0,25,18,0
60,48592.16,0,21139.83,0.0,1,20,21,1
41,33269.74,0,14986.29,0.0,1,22,5,1
36,78340.43,3,23716.29,0.9082,1,28,6,0
38,26432.69,1,33923.26,1.2833,1,11,8,0
44,52865.44,1,3490.24,0.066,0,27,19,1
46,33976.34,1,13197.9,0.3884,2,28,10,0
45,39688.39,0,500.0,0.0,1,18,1,0
61,51803.07,0,16541.21,0.0,1,5,21,1
49,63368.77,1,17923.15,0.2828,1,11,4,1
35,69350.95,0,14686.7,0.0,0,23,6,1
21,21945.78,2,9763.73,0.8898,1,12,5,0
45,49016.27,4,500.0,0.0408,0,7,21,1
27,66892.4,1,17988.27,0.2689,1,15,9,1
29,19720.34,2,26643.48,2.702,0,1,19,0
44,49715.75,0,10271.85,0.0,0,21,27,1
21,44968.74,1,18520.48,0.4118,1,6,22,0
64,51218.13,2,2454.85,0.0959,2,11,34,1
28,33415.44,3,18657.7,1.675,2,6,0,0
44,23465.72,1,11852.94,0.5051,1,18,28,0
31,16303.4,0,8900.66,0.0,2,13,8,0
37,59645.76,0,8917.09,0.0,0,29,8,1
28,61560.74,1,11851.11,0.1925,0,8,21,1
55,49540.28,1,18059.47,0.3645,0,17,1,0
55,36987.77,0,4502.69,0.0,0,10,15,1
53,20654.31,1,11823.08,0.5724,2,15,5,0
25,53450.18,1,14668.23,0.2744,2,18,12,0
